|Index|,|Quanity|,|Quanity_sold_latest|,|Customer_No_product|,|Customer_No_Sold|,|Quick_Scancode|,|Product_scancode|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Date_In|,|Date_sold|,|Clerk_ID_In|,|Clerk_ID_sold|,|void|,|Catagorie|,|Listprice|,|REDUCTION|,|Soldprice|,|Invoice#|,|Sale_price|,|Sale_item|,|No_Returned|,|Credit_Applied|
38439,0,1,|2923|,|4235|,|c26767c|,|p45962|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,3.9500,0,3.9500,|11512|,,0,0,0.0000
38440,0,1,|2923|,|1472|,|c26767c|,|p46012|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,|02/06/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,4.9500,0,4.9500,|10922|,,0,0,0.0000
38441,1,0,|2923|,,|c26767c|,|p46325|,2,|2|,|5|,,|plain or print|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
38442,0,1,|2923|,|4373|,|c26767c|,|p45942|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,|02/22/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,4.9500,0,4.9500,|11796|,,0,0,0.0000
38443,0,1,|2923|,|2827|,|c26767c|,|p45954|,2,|1|,|5|,,|play shirt|,|02/05/2000 12:00:00 AM|,|02/15/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,2.5000,0,2.5000,|11383|,,0,0,0.0000
38444,1,0,|2923|,,|c26767c|,|p45959|,2,|2|,|5|,,|boys or girl swim suit, leotard, or costume|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|5|,3.9500,0,0.0000,,,0,0,0.0000
38445,1,0,|4358|,,|c26489c|,|p45992|,2,|2|,|5|,,|sandal or shoe|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,3.9500,0,0.0000,,,0,0,0.0000
38446,1,0,|4358|,,|c26489c|,|p45968|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38447,1,0,|4358|,,|c26489c|,|p45972|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38448,0,1,|4358|,|600|,|c26489c|,|p45952|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,1.9500,0,1.9500,|11511|,,0,0,0.0000
38449,1,0,|4358|,,|c26489c|,|p46354|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38450,0,1,|4358|,|4161|,|c26489c|,|p45964|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,|02/24/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,1.9500,0,1.9500,|11903|,,0,0,0.0000
38451,0,1,|4358|,|3148|,|c26489c|,|p45957|,2,|2|,|5|,|blankets|,|blankets and linens|,|02/05/2000 12:00:00 AM|,|02/14/2000 12:00:00 AM|,|SUE|,|SUE|,0,|3|,1.9500,0,1.9500,|11351|,,0,0,0.0000
38452,0,1,|4358|,|600|,|c26489c|,|p45976|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,2.9500,0,2.9500,|11514|,,0,0,0.0000
38453,1,0,|4358|,,|c26489c|,|p45984|,2,|2|,|5|,|blankets|,|blankets and linens|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,1.9500,0,0.0000,,,0,0,0.0000
38454,1,0,|4358|,,|c26489c|,|p45980|,2,|2|,|5|,|blankets|,|blankets and linens|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,1.9500,0,0.0000,,,0,0,0.0000
38455,0,1,|3413|,|600|,|c26572c|,|p46467|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,|02/23/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,3.9500,0,3.9500,|11839|,,0,0,0.0000
38456,1,0,|3413|,,|c26572c|,|p46479|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38457,0,1,|3413|,|4043|,|c26572c|,|p46431|,2,|2|,|5|,,|better|,|02/05/2000 12:00:00 AM|,|02/20/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,3.9500,0,3.9500,|11705|,,0,0,0.0000
38458,0,1,|3413|,|600|,|c26572c|,|p46496|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,|02/23/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,3.9500,0,3.9500,|11839|,,0,0,0.0000
38459,1,0,|3413|,,|c26572c|,|p46435|,2,|2|,|5|,,|long sleeve lomg legs cotton or other|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38460,1,0,|3413|,,|c26572c|,|p46500|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38461,1,0,|3413|,,|c26572c|,|p46427|,2,|2|,|5|,,|2 or 3 piece sets|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
38462,1,0,|3413|,,|c26572c|,|p46471|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38463,0,1,|3413|,|2200|,|c26572c|,|p46423|,2,|2|,|5|,,|2 or 3 piece sets|,|02/05/2000 12:00:00 AM|,|02/23/2000 12:00:00 AM|,|SUE|,|YOS|,0,|1|,6.9500,0,6.9500,|11831|,,0,0,0.0000
38464,0,1,|3413|,|600|,|c26572c|,|p46439|,2,|2|,|5|,,|2 or 3 piece sets|,|02/05/2000 12:00:00 AM|,|02/18/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,6.9500,0,6.9500,|11606|,,0,0,0.0000
38465,0,1,|1938|,|600|,|c26508c|,|p46432|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,|02/12/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,4.9500,0,4.9500,|11248|,,0,0,0.0000
38466,1,0,|1938|,,|c26508c|,|p46445|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
38468,0,1,|4080|,|1844|,|c26819c|,|p45140|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/13/2000 12:00:00 AM|,|SUE|,|ANN|,0,|3|,0.5000,0,0.5000,|11287|,,0,0,0.0000
