"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd351",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd437",NA,"toy,  puzzle or game"
2,"01/15/2004 12:00:00 AM","1074153600","DIA",2,"wd5916",NA,"toy,  puzzle or game"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd850",NA,"blankets and linens"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd905",NA,"blankets and linens"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd921",NA,"blankets and linens"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd909",600,"blankets and linens"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd819",NA,"shirt"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd918",NA,"shirt"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd832",NA,"hat knit"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd823",NA,"hat knit"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd856",NA,"sox"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd867",NA,"sox"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd863",NA,"sox"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd882",NA,"cotton one piece outfit or set"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd1404",NA,"cotton one piece outfit or set"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd859",NA,"pants"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd811",NA,"cotton one piece outfit or set"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd822",NA,"cotton one piece outfit or set"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd845",600,"shirt"
