|Index|,|Preset_Name|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Catagorie|,|Listprice|
160,|Hatley|,1,|4|,|5|,|Hatley|,|Hatley|,|1|,39.9900
161,|hand knit hat|,1,|2|,|5|,,|hand knit hat|,|3|,8.9900
162,|hand knit mittens|,1,|2|,|5|,,|hand knit mittens|,|3|,8.9900
163,|Envirosax|,1,|2|,|5|,|Envirosax|,|Envirosax|,|3|,8.9900
164,|Sugar Booger|,1,|2|,|5|,|Sugar Booger|,|Sugar Booger|,|3|,9.9900
165,|episencial|,1,|2|,|5|,|episencial|,|episencial|,|3|,9.9900
166,|Downeast|,1,|2|,|5|,|DOWNEAST|,|Downeast|,|1|,14.9900
167,|Keepin' Fresh|,1,|4|,|5|,|Keepin' Fresh|,|Keepin' Fresh|,,16.9900
168,|baby banz|,1,|2|,|5|,,|baby banz salesman samples|,|5|,9.9900
169,|Kids Basix|,1,|2|,|5|,,|Kids Basix|,|3|,9.9900
170,|Kid Basix|,1,|2|,|5|,,|Kid Basix|,|3|,9.9900
171,|pb n j  baby|,1,|2|,|5|,,|pb nj baby|,|3|,4.5000
172,,1,|2|,|5|,,|Green toys|,|3|,25.9900
173,,1,|2|,|5|,,|Rich Frog|,|3|,9.9900
174,|Hatley Umbrella|,1,|4|,|5|,,,,15.5000
175,|diaper cov|,1,|4|,|5|,|Hatley Umbrella|,|Hatley Umbrella|,|3|,15.5000
176,|Robeez|,1,|2|,|5|,,|Robeez|,|3|,29.9900
177,|Eco pacifier|,1,|2|,|5|,,|Eco Pacifier|,|3|,19.9900
178,|Kushies|,1,|2|,|5|,,|kushies|,|3|,6.9900
179,|Kushies|,1,|2|,|5|,,|kushies|,|3|,6.9900
180,|Kushies|,1,|4|,|5|,,|Kushies|,|1|,6.9900
181,|Life Factory|,1,|4|,|5|,,|Life Factory|,,8.9900
182,|Life Factory|,1,|4|,|5|,,|Life Factory|,|3|,8.9900
183,|LifeFactory|,1,|4|,|5|,,|LifeFactory|,|3|,8.9900
184,|American Bear Compan|,1,|2|,|5|,,|American Bear Company|,,11.9900
185,|Maple Landmark|,1,|4|,|5|,,|Maple Landmark Woodcraft|,|2|,11.9900
186,|Max's Mud|,1,|2|,|5|,,|Max's Mud-Gluten and Fragrance free|,|3|,3.9900
187,|RKS Sunglasses|,1,|4|,|5|,,|RKS Sunglasses|,,12.9900
188,|Halo|,1,|4|,|5|,,|Halo Sleepsacks|,|3|,21.9900
189,|EEBOO|,1,|2|,|5|,|EEBOO|,|EEBOO|,|2|,9.9900
190,|Fruit of the Loom|,1,|2|,|5|,|Fruit of the Loom|,|Fruit of the Loom|,|1|,7.9900
191,|miracle blanket|,1,|4|,|5|,,,|3|,29.9900
192,|Miracle Blanket|,1,|4|,|5|,,|miracle blanket|,|3|,29.9900
193,|Acorn|,1,|4|,|5|,|Acorn|,|Acorn|,|1|,34.9900
194,|Kid Co|,1,|2|,|5|,,|Kid Co|,|3|,3.9900
195,|Edushop|,1,|2|,|5|,|Edushop|,|Edushop|,,19.9900
196,|Douglas|,1,|2|,|5|,,|Douglas|,|3|,19.9900
197,|Manhattan toys|,1,|2|,|5|,,|Manhattan toys|,|2|,14.9900
198,|Eni Puzzles|,1,|4|,|5|,|Eni Puzzles|,|Eni Puzzles|,|2|,11.5000
199,|Piggy Paint|,1,|4|,|5|,|Piggy Paint|,|Piggy Paint|,|3|,8.9900
200,|Wool Pets|,1,|4|,|5|,|Wool Pets|,|Wool Pets|,|3|,16.9900
201,|Health Science Labs|,1,|4|,|5|,|Health Science Labs|,|Health Science Labs|,,14.9900
202,|Putumayo|,1,|2|,|5|,,|Putumayo Kids World Music|,,14.9900
203,|Klean Kanteen|,1,|4|,|3|,,|Klean kanteen|,|3|,24.9900
204,|Fox Fire|,1,|2|,|5|,,|Fox Fire|,|5|,24.9900
205,|Bumkins|,1,|4|,|5|,|Bumkins|,|Bumkins|,,12.9900
206,|Kickee Pants|,1,|2|,|5|,,|Kickee Pants|,|3|,19.9900
207,|Mayoral|,1,|2|,|5|,,|Mayoral|,|1|,19.9900
208,|Kids Konserve|,1,|4|,|5|,,|Kids Konserve|,,19.9500
209,|amber|,1,|2|,|5|,,|amber|,|3|,17.9900
210,|Crocodile Creek|,1,|2|,|5|,,|Crocodile Creek|,|3|,9.9900
211,|Edushape|,1,|2|,|5|,,|EduShape|,|2|,19.9900
212,|Universal Toysmith|,1,|4|,|5|,,|Universal Toysmith|,|2|,13.9900
213,|Knitwits|,1,|2|,|5|,,|Knitwits|,|5|,9.9900
214,|Diaper Cover|,2,|2|,|5|,|Diaper Cover|,|Diaper Cover|,|3|,3.9900
215,|nixi|,1,|2|,|5|,,|Silicone  Jewelry|,|3|,9.9900
216,|le top|,1,|2|,|5|,,|Le Top|,|3|,24.9900
217,|Innobaby|,1,|4|,|5|,,|Innobaby|,,9.9900
218,|north american Bear|,1,|2|,|5|,,|North American Bear|,|2|,9.9900
219,|Nowali|,1,|4|,|5|,,|Nowali|,,26.9900
220,|Becker Gloves|,1,|2|,|5|,,|Becker Gloves|,|3|,3.9900
221,|Janod Toys|,1,|2|,|5|,|Janod Toys|,|Janod Toys|,|2|,14.9900
222,|Small World Toys|,1,|4|,|5|,|Small World Toys|,|Small World Toys|,|2|,19.9900
223,|$10 sale|,3,|2|,|5|,|sale only|,|$10 sale|,|3|,10.0000
224,|Plan Toys|,1,|4|,|5|,|Plan Toys|,|Plan Toys|,,11.9900
225,|Konfidence swim|,1,|2|,|5|,,|Konfidence Swim|,|5|,29.9900
226,|Konfetti|,1,|4|,|5|,|Konfetti|,|Konfetti|,|1|,26.9900
227,|WubbaNub|,1,|2|,|5|,,|WubbaNub|,|3|,14.9900
228,|OXO|,1,|2|,|5|,,|OXO|,|3|,7.9900
229,|little thredz|,1,|2|,|5|,,|Little Thredz|,|3|,19.9900
230,|Happy Socks|,1,|2|,|5|,|Happy Socks|,|Happy Socks|,|1|,7.9900
231,|Kamik|,1,|2|,|5|,,|Kamik|,|3|,29.9900
232,|Itzy Ritzy|,1,|2|,|5|,,|Itzy Ritzy|,|3|,29.9900
233,|Badger Products|,1,|2|,|5|,,|Badger Products|,|3|,7.9900
234,|Rabbit Moon|,1,|4|,|5|,,|Rabbit Moon|,|1|,13.9900
235,|Stride rite|,1,|2|,|5|,,|Stride rite|,|5|,9.9900
236,|O.R.E|,1,|2|,|5|,|O.R.E|,|O.R.E|,|3|,19.9900
237,|Girl & Co.|,1,|2|,|5|,|Girl & Co.|,|Girl & Co.|,|1|,29.9900
