"index","preset_name","type_code","condition_code","size_code","notes","p_description","category","listprice"
203,"Klean Kanteen",1,4,3,"","Klean kanteen",3,24.99
204,"Fox Fire",1,2,5,"","Fox Fire",5,24.99
205,"Bumkins",1,4,5,"Bumkins","Bumkins",NA,12.99
206,"Kickee Pants",1,2,5,"","Kickee Pants",3,19.99
207,"Mayoral",1,2,5,"","Mayoral",1,19.99
208,"Kids Konserve",1,4,5,"","Kids Konserve",NA,19.95
209,"amber",1,2,5,"","amber",3,17.99
210,"Crocodile Creek",1,2,5,"","Crocodile Creek",3,9.99
211,"Edushape",1,2,5,"","EduShape",2,19.99
212,"Universal Toysmith",1,4,5,"","Universal Toysmith",2,13.99
213,"Knitwits",1,2,5,"","Knitwits",5,9.99
214,"Diaper Cover",2,2,5,"Diaper Cover","Diaper Cover",3,3.99
215,"nixi",1,2,5,"","Silicone  Jewelry",3,9.99
216,"le top",1,2,5,"","Le Top",3,24.99
217,"Innobaby",1,4,5,"","Innobaby",NA,9.99
218,"north american Bear",1,2,5,"","North American Bear",2,9.99
219,"Nowali",1,4,5,"","Nowali",NA,26.99
220,"Becker Gloves",1,2,5,"","Becker Gloves",3,3.99
221,"Janod Toys",1,2,5,"Janod Toys","Janod Toys",2,14.99
222,"Small World Toys",1,4,5,"Small World Toys","Small World Toys",2,19.99
223,"$10 sale",3,2,5,"sale only","$10 sale",3,10
224,"Plan Toys",1,4,5,"Plan Toys","Plan Toys",NA,11.99
225,"Konfidence swim",1,2,5,"","Konfidence Swim",5,29.99
226,"Konfetti",1,4,5,"Konfetti","Konfetti",1,26.99
227,"WubbaNub",1,2,5,"","WubbaNub",3,14.99
228,"OXO",1,2,5,"","OXO",3,7.99
229,"little thredz",1,2,5,"","Little Thredz",3,19.99
230,"Happy Socks",1,2,5,"Happy Socks","Happy Socks",1,7.99
231,"Kamik",1,2,5,"","Kamik",3,29.99
232,"Itzy Ritzy",1,2,5,"","Itzy Ritzy",3,29.99
233,"Badger Products",1,2,5,"","Badger Products",3,7.99
234,"Rabbit Moon",1,4,5,"","Rabbit Moon",1,13.99
235,"Stride rite",1,2,5,"","Stride rite",5,9.99
236,"O.R.E",1,2,5,"O.R.E","O.R.E",3,19.99
237,"Girl & Co.",1,2,5,"Girl & Co.","Girl & Co.",1,29.99
238,"Goodbyn",1,2,5,"","Goodbyn",3,12.99
239,"",2,2,5,"","",NA,0
240,"Green Toys",1,2,5,"","Green Toys",2,27.99
241,"David Fussenegger",1,2,5,"","David Fussenegger",3,16.99
242,"Earth Mama",1,2,5,"","Earth Mama",3,13.99
243,"Grand Sierra",1,4,5,"","Grand Sierra",1,8.5
244,"wow cup",1,4,5,"","wow cup",3,9.99
245,"Do A Dot Art",1,2,5,"","Do A Dot Art",2,15.99
246,"BUILT",1,2,5,"","BUILT",3,19.99
247,"Bruder",1,4,5,"","Bruder",2,69.99
248,"Mcubbin",1,2,5,"","Mcubbin",3,15.99
249,"Rubbabu",1,2,5,"","Rubbabu",2,7.99
250,"Jack and Lily",1,2,5,"","Jack and Lily",3,24.99
251,"Penny Candy",1,4,5,"","Penny Candy",1,19.99
252,"Waba fun",1,2,5,"","Waba fun",2,19.99
253,"Begin  again",1,2,5,"","Begin Again",2,0
254,"Jellycat",1,2,5,"","Jellycat",2,19.99
255,"Sophie la girafe",1,2,5,"","Sophie la girafe",3,14.99
256,"Tuffo",1,4,5,"","Tuffo",3,39.99
257,"Sili Squeeze",1,4,5,"","Sili Squeeze",3,14.99
258,"Ulubulu",1,4,5,"Ulubulu","Ulubulu",3,7.99
259,"Great Pretenders",1,4,5,"","Great Pretenders",3,11.99
260,"baby legs",1,2,5,"","baby legs",3,8.99
261,"Babalu",1,4,5,"Babalu","Babalu",2,24.99
262,"Burt's Bees Baby",1,4,5,"Burt's Bees Baby Organics","Burt's Bees Baby Organics",1,14.99
263,"Trumpette",1,2,5,"","trumpette",3,25.99
264,"Bogs Footwear",1,4,5,"Bogs Footwear","Bogs Footwear",1,34.99
265,"Meiya & Alvin",1,2,5,"","Meiya and Alvin collection",3,19.99
266,"Tiger Tales",1,2,5,"","Tiger Tales",2,8.99
267,"Poppy & Plum",1,4,5,"Poppy & Plum","Poppy and Plum",3,15.99
268,"ONYX",1,2,5,"","ONYX",3,9.99
269,"Smart Wool",1,2,5,"","Smart Wool",3,10.99
270,"Smart Wool Socks",1,4,5,"Smart Wool Socks","Smart Wool Socks",1,10.99
271,"Hatley",1,2,5,"","Hatley",3,2.99
272,"Kid Basix",1,4,5,"Kid Basix","Kid Basix",3,15.99
273,"The Amber monkey",1,2,5,"","Tha Amber Monkey",3,17.99
274,"puppet workshop",1,2,5,"","puppet workshop",5,19.99
275,"SCENTCO",1,2,5,"","SCENTCO",3,2.99
276,"Puj",1,2,5,"","Puj",3,19.99
277,"Ravensburger",1,4,5,"","Puzzles",3,12.99
278,"Mulberry bush",1,2,5,"","Mulberry bush",1,29.99
279,"Eric Carle",1,2,5,"","Eric Carle",1,28.99
280,"final clearance",1,2,5,"","FINAL CLEARANCE",3,24.99
